"01-446 Aurora" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,1 
"District 7 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,84 
"District 7 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,3 
"District 7 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,52 
"District 7 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,8 
"District 7 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,502 
"District 7 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,16 
"District 8 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 8 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 8 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,12978 
"District 8 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,497 
"District 8 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,7 
"District 8 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,61 
"District 8 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"District 8 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,26 
"District 8 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,11 
"District 8 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,378 
"District 8 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,10 
"District 9 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 9 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 9 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,14116 
"District 9 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,490 
"District 9 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,4 
"District 9 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,74 
"District 9 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"District 9 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,35 
"District 9 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,5 
"District 9 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,353 
"District 9 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,14 
"District 10 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 10 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 10 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,14053 
"District 10 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,632 
"District 10 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,9 
"District 10 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,81 
"District 10 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"District 10 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,42 
"District 10 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,11 
"District 10 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,463 
"District 10 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,17 
"District 11 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 11 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 11 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,14597 
"District 11 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,773 
"District 11 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,6 
"District 11 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,153 
"District 11 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,3 
"District 11 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,58 
"District 11 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,13 
"District 11 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,511 
"District 11 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,22 
"District 12 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 12 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 12 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,14259 
"District 12 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,430 
"District 12 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,1 
"District 12 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,68 
"District 12 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"District 12 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,28 
"District 12 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,5 
"District 12 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,306 
"District 12 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,18 
"District 13 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 13 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 13 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,12185 
"District 13 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,618 
"District 13 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,5 
"District 13 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,157 
"District 13 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"District 13 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,45 
"District 13 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,14 
"District 13 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,373 
"District 13 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,20 
"District 14 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 14 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 14 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,16094 
"District 14 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,416 
"District 14 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,2 
"District 14 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,94 
"District 14 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,5 
"District 14 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,45 
"District 14 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,9 
"District 14 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,250 
"District 14 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,9 
"District 15 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 15 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 15 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,11427 
"District 15 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,539 
"District 15 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,7 
"District 15 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,199 
"District 15 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"District 15 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,34 
"District 15 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,11 
"District 15 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,263 
"District 15 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,18 
"District 16 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 16 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 16 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,13071 
"District 16 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,528 
"District 16 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,7 
"District 16 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,210 
"District 16 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"District 16 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,44 
"District 16 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,15 
"District 16 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,217 
"District 16 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,23 
"District 17 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 17 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 17 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,11883 
"District 17 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,617 
"District 17 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,9 
"District 17 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,281 
"District 17 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,5 
"District 17 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,33 
"District 17 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,21 
"District 17 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,244 
"District 17 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,16 
"District 18 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 18 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 18 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,13020 
"District 18 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,736 
"District 18 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,4 
"District 18 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,316 
"District 18 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,8 
"District 18 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,59 
"District 18 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,17 
"District 18 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,286 
"District 18 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,31 
"District 19 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 19 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 19 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,10440 
"District 19 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,422 
"District 19 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,14 
"District 19 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,241 
"District 19 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,4 
"District 19 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,13 
"District 19 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,12 
"District 19 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,119 
"District 19 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,9 
"District 20 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 20 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 20 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,13241 
"District 20 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,523 
"District 20 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,7 
"District 20 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,249 
"District 20 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"District 20 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,34 
"District 20 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,8 
"District 20 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,197 
"District 20 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,18 
"District 21 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 21 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 21 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,13473 
"District 21 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,394 
"District 21 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,3 
"District 21 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,166 
"District 21 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"District 21 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,27 
"District 21 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,6 
"District 21 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,168 
"District 21 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,19 
"District 22 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 22 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 22 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,13232 
"District 22 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,404 
"District 22 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,2 
"District 22 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,140 
"District 22 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,4 
"District 22 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,32 
"District 22 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,8 
"District 22 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,201 
"District 22 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,16 
"District 23 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 23 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 23 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,12173 
"District 23 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,505 
"District 23 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,6 
"District 23 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,190 
"District 23 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,3 
"District 23 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,37 
"District 23 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,7 
"District 23 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,243 
"District 23 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,15 
"District 24 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 24 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 24 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,13930 
"District 24 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,376 
"District 24 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,4 
"District 24 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,115 
"District 24 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"District 24 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,41 
"District 24 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,8 
"District 24 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,195 
"District 24 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,9 
"District 25 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 25 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 25 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,13062 
"District 25 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,497 
"District 25 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,8 
"District 25 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,176 
"District 25 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"District 25 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,37 
"District 25 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,19 
"District 25 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,234 
"District 25 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,15 
"District 26 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 26 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 26 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,13776 
"District 26 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,449 
"District 26 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,8 
"District 26 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,151 
"District 26 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,1 
"District 26 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,34 
"District 26 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,8 
"District 26 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,227 
"District 26 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,15 
"District 27 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 27 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 27 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,13867 
"District 27 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,503 
"District 27 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,6 
"District 27 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,194 
"District 27 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,5 
"District 27 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,39 
"District 27 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,16 
"District 27 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,224 
"District 27 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,15 
"District 28 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 28 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 28 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,15688 
"District 28 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,288 
"District 28 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,4 
"District 28 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,105 
"District 28 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,2 
"District 28 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,27 
"District 28 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,3 
"District 28 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,139 
"District 28 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,7 
"District 29 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 29 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 29 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,14176 
"District 29 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,0 
"District 29 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,0 
"District 29 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,0 
"District 29 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"District 29 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,0 
"District 29 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,0 
"District 29 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,0 
"District 29 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,0 
"District 30 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 30 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 30 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,14369 
"District 30 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,0 
"District 30 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,0 
"District 30 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,0 
"District 30 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"District 30 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,0 
"District 30 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,0 
"District 30 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,0 
"District 30 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,0 
"District 31 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 31 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 31 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,15407 
"District 31 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,0 
"District 31 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,0 
"District 31 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,0 
"District 31 - Question" ,"US PRESIDENT" ,"De La Fuente, Roque" ,"NA" ,"Total" ,0 
"District 31 - Question" ,"US PRESIDENT" ,"Johnson, Gary" ,"LIB" ,"Total" ,0 
"District 31 - Question" ,"US PRESIDENT" ,"Stein, Jill" ,"GRE" ,"Total" ,0 
"District 31 - Question" ,"US PRESIDENT" ,"Trump, Donald J." ,"REP" ,"Total" ,0 
"District 31 - Question" ,"US PRESIDENT" ,"Write-in 60" ,"NP" ,"Total" ,0 
"District 32 - Question" ,"US PRESIDENT" ,"Number of Precincts for Race" ,"NP" ,"Total" ,0 
"District 32 - Question" ,"US PRESIDENT" ,"Number of Precincts Reporting" ,"NP" ,"Total" ,0 
"District 32 - Question" ,"US PRESIDENT" ,"Registered Voters" ,"NP" ,"Total" ,12937 
"District 32 - Question" ,"US PRESIDENT" ,"Times Counted" ,"NP" ,"Total" ,0 
"District 32 - Question" ,"US PRESIDENT" ,"Castle, Darrell L." ,"CON" ,"Total" ,0 
"District 32 - Question" ,"US PRESIDENT" ,"Clinton, Hillary" ,"DEM" ,"Total" ,0 
